Strain,Australis,Autumnalis,Ballum,Bataviae,Canicola,Celledoni,Cynopteri,Djasiman,Grippotyphosa,Hebdomadis,Icterohaemorrhagiae,Javanica,Manhao,Mini,Panama,Pomona,Pyrogenes,Ranarum,Sarmin,Sejroe,Shermani,Tarassovi,Serogroup,class,Species,max
56274,33.828,35.977,45.359,57.058,46.222,39.943,36.867,39.055,41.214,39.151,45.585,43.21,39.996,37.405,34.85,40.595,45.103,40.37,49.548,37.045,89.067,78.004,Tarassovi,4,santarosai,89.067
ratnapura1236,61.027,75.67,49.416,40.477,54.048,42.94,80.673,77.743,87.352,36.735,51.324,48.194,46.368,32.176,60.421,70.464,52.785,42.616,43.663,35.017,39.705,42.086,Grippotyphosa,2,kirschneri,87.352
201600680,31.755,33.943,36.596,33.136,41.277,33.413,35.119,36.789,37.636,81.852,40.852,37.506,36.918,87.114,32.992,38.877,39.992,33.079,37.368,88.116,40.305,43.33,Mini,3,borgpetersenii,88.116
201600674,32.447,34.793,37.314,33.963,41.849,33.967,35.761,37.373,38.204,82.632,41.407,38.111,37.48,88.425,33.551,39.424,41.01,33.544,37.901,89.538,41.361,44.245,Mini,3,borgpetersenii,89.538
201600664,32.235,35.11,37.314,33.863,41.849,33.936,35.689,37.373,38.204,82.218,41.407,38.111,37.48,88.23,33.89,39.409,40.401,33.544,37.906,89.079,41.361,45.212,Mini,3,borgpetersenii,89.079
201600681,32.257,34.443,37.31,33.784,41.849,33.894,35.665,37.373,38.2,81.547,41.407,38.107,37.484,87.031,33.448,39.409,40.567,33.54,37.804,88.604,41.354,44.007,Mini,3,borgpetersenii,88.604
1548,38.075,39.729,34.49,91.423,39.879,31.603,39.196,41.897,40.713,35.823,40.248,33.515,31.975,32.19,37.386,40.724,40.342,32.254,34.863,34.506,57.091,54.195,Bataviae,4,interrogans,91.423
L_60,45.127,49.861,69.402,38.668,73.105,69.611,52.054,55.912,58.578,44.325,70.631,70.024,99.488,45.372,47.694,54.848,71.545,64.414,67.837,46.056,42.766,50.783,Manhao,1,alexanderi,99.488
201700037,51.994,56.164,59.646,42.992,85.918,57.96,54.804,58.846,61.759,45.716,88.69,62.366,64.168,41.17,52.904,53.988,76.069,60.873,62.521,43.602,44.883,51.063,Canicola,1,kirschneri,88.69
Rr5,42.737,51.059,62.667,38.1,70.796,65.104,51.896,54.814,55.122,44.705,70.17,66.865,65.845,42.512,47.081,53.055,72.463,59.625,89.818,42.177,56.071,52.629,Sarmin,1,santarosai,89.818
200901868,63.35,78.358,50.826,38.257,51.853,44.295,90.173,80.672,86.927,36.579,51.566,51.624,45.611,37.029,61.249,83.023,50.88,42.603,49.029,40.49,40.069,46.237,Pomona,2,borgpetersenii,90.173
202001913,47.946,54.714,60.412,42.272,88.942,56.259,54.234,64.237,62.886,47.027,86.451,61.997,65.523,41.233,49.533,57.877,79.04,57.681,61.554,42.882,43.247,49.716,Canicola,1,interrogans,88.942
202202764,42.737,51.059,62.667,38.1,70.796,65.104,51.896,54.814,55.122,44.705,70.17,66.865,65.845,42.512,47.081,53.055,72.463,59.625,89.818,42.177,56.071,52.629,Sarmin,1,santarosai,89.818
201401324,47.953,54.717,60.412,42.332,89.32,56.372,54.234,64.237,62.886,47.56,86.821,62.108,65.831,41.733,49.534,58.083,79.406,57.792,61.846,43.292,43.247,49.735,Canicola,1,interrogans,89.32
201401326,47.949,54.467,60.409,42.332,89.317,56.372,54.234,64.237,62.883,47.272,86.817,62.105,65.629,41.45,49.534,57.865,79.003,57.789,61.64,43.107,43.096,49.686,Canicola,1,interrogans,89.317
Wumalasena,59.977,74.424,46.865,36.802,51.567,41.656,81.366,79.206,87.314,35.905,48.909,46.084,44.91,31.346,58.599,70.837,49.972,40.683,42.166,33.603,38.289,39.267,Grippotyphosa,2,kirschneri,87.314
201401328,47.776,54.268,60.409,42.328,89.315,56.335,54.23,64.233,62.882,47.268,86.769,62.103,65.628,41.434,49.531,57.861,79.001,57.789,61.638,43.105,43.089,49.686,Canicola,1,interrogans,89.315
Fiocruz_LV999,47.426,53.916,58.349,42.115,86.919,55.704,53.598,59.042,58.296,45.844,90.207,61.906,61.605,40.3,48.479,56.289,78.528,55.551,61.447,42.803,43.099,46.886,Icterohaemorrhagiae,1,interrogans,90.207
Noumea25,41.459,47.039,91.019,36.253,62.927,62.703,49.234,50.978,54.205,36.603,56.237,79.567,60.109,36.875,43.081,51.083,66.721,59.754,58.739,41.244,41.898,52.734,Ballum,1,borgpetersenii,91.019
MAVJ401,45.421,51.631,67.227,39.094,70.215,69.959,53.472,54.829,56.707,44.894,69.59,70.929,70.228,44.469,48.603,55.722,72.049,60.893,91.351,44.27,55.163,51.816,Javanica,1,santarosai,91.351
L0996,32.718,33.847,34.299,35.281,43.916,34.188,36.368,40.472,38.183,91.936,43.219,33.821,36.398,79.354,35.06,38.428,42.633,32.901,36.657,84.841,41.041,38.114,Hebdomadis,3,Leptospira interrogans str. L0996,91.936
172_IZSLER,30.684,34.328,37.441,33.07,41.999,33.663,35.305,37.473,38.261,80.493,41.542,37.218,37.15,79.604,32.274,38.639,40.604,33.28,37.57,90.624,41.384,43.789,Sejroe,3,borgpetersenii,90.624
Hook,89.518,72.696,45.284,41.152,49.671,43.566,68.115,76.326,71.276,36.872,50.893,44.257,42.453,32.784,73.659,71.817,49.429,40.92,44.082,35.17,39.787,42.505,Australis,2,noguchii,89.518
RM52,58.902,72.877,46.308,37.099,50.277,38.515,81.335,77.744,85.59,33.319,47.555,44.96,43.412,29.591,56.739,69.967,48.281,40.961,41.003,32.487,35.983,38.1,Grippotyphosa,2,kirschneri,85.59
202201150,63.154,78.098,50.815,37.839,51.84,44.269,89.986,80.662,86.895,36.579,51.553,51.614,45.597,37.018,60.96,82.346,50.644,42.588,49.142,39.859,40.055,46.222,Pomona,2,borgpetersenii,89.986
ACSSAX2020,31.387,34.247,37.304,33.631,41.812,34.419,35.798,37.397,38.198,82.289,41.309,37.127,37.048,80.02,32.415,39.134,39.8,33.168,37.249,91.431,41.08,43.701,Sejroe,3,borgpetersenii,91.431
201502616,38.075,39.526,34.49,91.375,39.879,31.603,39.165,41.897,40.713,35.823,40.248,33.515,31.977,32.19,37.409,40.724,40.026,32.254,34.863,34.506,57.027,54.195,Bataviae,4,interrogans,91.375
Valbuzzi,55.237,69.729,43.958,34.625,50.924,38.026,73.151,83.143,83.78,34.385,49.336,42.494,42.485,29.996,54.816,72.272,50.189,38.807,40.426,31.216,35.398,36.608,Grippotyphosa,2,interrogans,83.78
LT821,27.193,30.746,32.14,42.915,33.225,30.698,30.301,31.853,32.242,34.355,32.234,31.191,28.764,33.848,29.043,31.993,33.395,30.108,37.133,33.688,99.376,53.638,Shermani,4,santarosai,99.376
200702274,63.487,78.826,49.229,40.251,54.051,41.236,86.99,83.405,92.251,36.499,51.277,47.764,45.906,31.953,61.125,75.21,51.662,43.732,43.945,34.778,39.741,41.413,Grippotyphosa,2,kirschneri,92.251
Moskva,53.958,67.812,41.206,34.487,44.617,35.218,75.138,71.433,78.137,30.997,42.45,40.06,38.945,27.714,51.607,65.047,43.558,36.269,37.164,30.489,34.109,33.952,Grippotyphosa,2,kirschneri,78.137
201800317,31.522,34.279,37.443,33.599,42.002,33.833,35.774,37.476,38.272,81.008,41.544,37.22,37.152,80.118,32.489,39.306,40.636,33.282,37.573,91.081,41.384,43.622,Sejroe,3,borgpetersenii,91.081
FMAS_KW1,64.01,74.835,47.921,40.942,55.749,42.707,77.273,94.031,85.397,38.686,55.823,48.77,45.46,33.217,61.725,88.266,55.144,41.34,44.839,35.804,39.569,40.962,Djasiman,2,Leptospira interrogans,94.031
CEMINAC,38.053,39.524,34.49,91.288,39.875,31.587,39.161,41.893,40.708,35.817,40.244,33.515,31.971,32.184,37.348,40.737,40.164,32.254,34.859,34.506,57.019,54.195,Bataviae,4,interrogans,91.288
Fiocruz_LV2804,47.758,54.346,59.161,42.597,88.486,56.683,54.31,59.941,59.044,46.689,91.724,63.126,62.604,41.231,49.235,57.097,80.73,56.526,62.665,43.71,43.192,48.191,Icterohaemorrhagiae,1,interrogans,91.724
Fiocruz_LV224,47.185,53.676,59.11,41.409,88.825,56.397,53.65,59.139,58.374,45.718,91.875,63.088,62.635,39.815,48.517,56.326,80.745,56.7,62.657,42.075,41.495,47.463,Icterohaemorrhagiae,1,interrogans,91.875
FDAARGOS_203,49.231,56.094,60.811,43.927,90.938,58.183,55.656,61.542,60.539,48.126,93.905,64.67,64.159,42.418,50.549,58.485,82.568,57.988,64.123,44.946,45.083,50.089,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni,93.905
898,49.485,57.831,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,83.726,58.243,65.062,45.02,45.041,51.217,Icterohaemorrhagiae,1,interrogans,95.535
L0448,33.094,33.952,34.299,35.493,43.916,34.167,36.5,40.472,38.301,93.251,43.219,33.821,36.398,79.618,35.163,38.428,43.504,32.901,36.657,85.137,41.342,38.312,Sejroe,3,Leptospira interrogans serovar Medanensis str. L0448,93.251
SK1,49.167,56.098,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,93.908,64.673,64.162,42.418,50.474,58.488,83.56,57.991,64.057,44.946,45.083,50.089,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni,93.908
Fiocruz_LV2840,48.105,54.677,58.805,42.408,88.638,56.371,54.363,60.031,59.124,46.544,91.918,62.78,62.259,40.928,49.298,57.149,79.877,56.221,62.313,43.415,43.085,47.683,Icterohaemorrhagiae,1,interrogans,91.918
61H,64.562,79.348,47.669,40.293,52.629,41.908,91.372,79.864,87.6,36.217,52.202,48.338,44.239,32.296,61.71,78.913,51.976,42.047,44.271,35.238,39.922,40.926,Pomona,2,kirschneri,91.372
Salinem,46.812,52.945,68.042,40.129,86.363,58.612,50.303,56.313,56.684,44.847,80.691,65.627,63.583,38.978,48.248,52.897,92.741,57.913,63.629,40.75,42.723,49.066,Pyrogenes,1,interrogans,92.741
202000070,64.346,76.849,47.924,40.893,55.733,42.864,79.023,94.465,85.646,38.525,56.61,48.66,45.452,33.213,62.011,89.602,56.033,41.305,45.365,35.807,39.535,41.581,Djasiman,2,interrogans,94.465
200202130,46.66,54.328,58.97,40.279,87.539,56.053,53.135,58.662,57.141,44.747,92.04,63.232,61.758,39.82,47.289,55.549,79.553,56.364,62.792,42.463,40.783,48.282,Icterohaemorrhagiae,1,interrogans,92.04
202103008,62.631,77.833,48.592,39.65,53.368,40.916,86.499,83.211,91.485,36.22,51.181,47.194,45.322,31.767,60.346,74.208,51.011,43.179,43.732,34.368,39.354,41.06,Grippotyphosa,2,kirschneri,91.485
M20,49.103,55.644,60.673,43.927,90.678,58.264,55.848,61.546,60.374,48.126,93.654,64.538,64.013,42.418,50.498,58.34,83.164,57.854,64.123,44.946,44.982,50.089,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. M20,93.654
HAI0188,49.234,55.786,60.814,43.927,90.941,58.186,55.659,61.546,60.543,48.126,93.908,64.673,64.162,42.418,50.552,58.454,83.194,57.991,64.008,44.946,44.982,50.099,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. HAI0188,93.908
LEP1226,63.041,78.221,49.065,40.442,53.895,41.13,86.959,83.131,92.117,36.555,51.204,47.779,45.809,32.115,61.818,75.285,51.741,43.656,43.933,35.052,39.735,41.439,Grippotyphosa,2,kirschneri,92.117
200703021,63.728,78.858,49.266,40.436,54.088,41.236,87.207,83.403,92.288,36.499,51.312,47.796,45.933,32.129,61.125,75.242,51.901,43.762,43.945,34.909,39.738,41.448,Grippotyphosa,2,kirschneri,92.288
200703020,63.73,78.862,49.264,40.448,54.088,41.236,86.934,83.395,92.284,36.499,51.312,47.797,45.947,32.129,61.131,75.239,51.984,43.762,43.922,34.949,39.741,41.452,Grippotyphosa,2,kirschneri,92.284
20021189,63.481,78.693,49.198,40.481,54.125,41.097,86.785,83.487,92.37,36.49,51.344,47.784,45.921,32.097,60.992,75.239,51.78,43.752,43.933,34.969,39.728,41.443,Grippotyphosa,2,kirschneri,92.37
Brem_127_Duyster,63.023,78.882,49.221,39.92,54.088,41.048,86.297,83.409,92.298,36.499,51.312,47.797,45.947,31.911,60.885,75.146,51.825,43.762,43.945,34.598,39.741,41.452,Grippotyphosa,2,kirschneri,92.298
201402975,63.699,78.924,49.203,40.486,54.133,41.114,86.863,83.496,92.379,36.495,51.355,47.791,45.94,32.102,60.997,75.229,52.124,43.752,43.939,34.974,39.735,41.448,Grippotyphosa,2,kirschneri,92.379
UCR5RB1,63.483,75.94,49.374,40.433,54.076,41.284,88.079,83.502,92.363,36.607,51.328,47.439,45.924,32.333,61.388,73.995,51.158,43.767,43.557,34.994,39.501,41.45,Grippotyphosa,2,Leptospira kirschneri serovar Grippotyphosa,92.363
201600670,61.286,75.061,48.759,38.46,53.191,40.881,84.439,79.752,90.186,36.273,50.611,48.08,45.696,32.403,60.056,70.007,51.224,41.765,42.375,34.649,39.524,40.199,Grippotyphosa,2,kirschneri,90.186
202103009,63.349,78.027,47.409,39.113,52.299,42.318,91.467,78.987,86.939,36.709,51.882,48.111,44.502,32.66,61.174,77.897,51.603,41.917,44.326,34.863,38.918,40.512,Pomona,2,kirschneri,91.467
Fiocruz_LV2799,48.294,54.806,60.065,42.79,90.399,57.176,54.527,60.449,59.215,47.648,92.512,63.587,63.078,41.693,49.686,57.573,81.537,56.807,63.082,44.187,44.415,48.757,Icterohaemorrhagiae,1,interrogans,92.512
202102999,46.525,54.459,58.421,40.8,87.532,56.713,52.792,58.664,56.768,46.231,91.568,62.713,62.301,40.921,47.089,55.558,79.902,56.103,62.646,43.515,42.449,47.754,Icterohaemorrhagiae,1,interrogans,91.568
202102994,64.847,79.834,48.211,39.879,53.21,42.067,93.195,80.652,89.305,36.709,52.758,48.853,44.728,32.66,62.631,79.935,52.454,42.52,44.743,34.963,39.915,41.504,Pomona,2,kirschneri,93.195
Fiocruz_LV2832,48.228,54.903,59.963,43.327,89.308,57.383,54.952,60.671,59.446,47.303,92.547,63.533,63.114,41.905,49.749,57.393,80.695,56.927,63.205,44.451,44.483,49.048,Icterohaemorrhagiae,1,interrogans,92.547
UI_09931,44.184,49.411,83.054,37.109,63.849,74.834,50.621,50.072,53.982,37.939,66.705,92.607,62.586,38.536,47.059,51.176,68.372,67.795,64.287,42.54,44.139,56.047,Javanica,1,borgpetersenii,92.607
LP101,61.563,76.042,48.547,39.882,56.208,44.729,81.624,87.334,92.178,38.123,56.3,48.742,45.213,33.587,61.679,79.116,55.764,41.331,44.555,34.956,39.804,40.66,Autumnalis,2,Leptospira interrogans serovar Autumnalis str. LP101,92.178
Fiocruz_LV2806,48.105,54.581,59.651,43.774,89.584,57.558,54.845,60.587,59.146,47.578,92.685,63.499,63.194,41.892,49.783,57.202,80.89,56.925,63.498,44.393,44.848,48.593,Icterohaemorrhagiae,1,interrogans,92.685
202102907,49.485,57.631,61.086,44.035,91.182,58.432,56.479,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,83.189,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
2006006972,49.052,56.528,60.501,44.035,90.336,58.428,56.443,62.811,60.178,48.041,94.437,64.694,63.702,42.169,50.205,58.692,82.551,57.772,65.056,44.814,44.84,50.487,Icterohaemorrhagiae,1,interrogans,94.437
Fiocruz_LV212,48.307,54.882,60.12,43.909,89.563,57.818,55.166,60.987,59.757,48.126,92.802,64.021,63.613,42.418,50.085,57.786,81.455,57.428,63.765,44.946,45.076,49.765,Icterohaemorrhagiae,1,interrogans,92.802
Duyster,61.02,76.447,48.731,39.672,56.863,41.491,80.345,90.73,92.161,38.363,54.987,46.927,46.667,32.866,60.207,79.951,55.078,42.612,43.97,34.156,39.935,41.192,Grippotyphosa,2,interrogans,92.161
FMAS_AW1,62.642,73.535,47.312,40.749,54.283,44.174,80.026,95.216,84.369,38.751,54.587,47.739,44.245,33.949,60.839,86.949,54.2,40.272,45.148,36.112,39.618,40.133,Autumnalis,2,Leptospira interrogans,95.216
FMAS_AW2,62.642,73.535,47.312,40.758,54.283,44.254,80.23,95.216,84.369,38.751,54.587,47.739,44.245,33.949,60.929,86.949,54.265,40.258,45.148,36.108,39.618,40.129,Autumnalis,2,Leptospira interrogans,95.216
1530d,50.353,58.001,60.938,43.801,90.932,59.105,57.528,62.839,60.94,47.856,97.107,65.111,64.872,42.095,51.665,60.371,83.784,58.666,65.174,44.116,45.044,50.397,Icterohaemorrhagiae,1,interrogans,97.107
2006006986,61.223,75.007,49.13,40.362,56.83,41.251,81.692,91.366,93.307,38.157,54.221,46.963,46.499,33.181,60.98,79.652,55.463,42.394,43.993,34.49,39.585,40.304,Grippotyphosa,2,interrogans,93.307
2006006982,48.782,54.78,60.229,43.927,90.096,58.182,56.156,61.541,59.962,48.122,93.024,64.14,63.678,42.281,50.395,57.939,81.787,57.52,64.001,44.835,44.838,49.459,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. 2006006982,93.024
202102993,64.645,79.615,47.849,39.433,52.641,42.1,93.247,80.722,89.094,36.473,52.211,48.521,44.264,32.374,62.063,79.53,51.906,42.175,44.568,34.668,39.566,41.352,Pomona,2,kirschneri,93.247
TE_0159,45.031,47.78,92.962,38.909,71.117,73.905,48.369,50.976,54.521,39.732,66.56,92.291,65.451,39.641,47.51,50.868,73.705,71.494,63.984,43.677,45.851,58.522,Ballum,1,borgpetersenii,92.962
Kantorowic,49.134,56.646,60.701,44.035,90.649,58.431,56.432,62.816,60.357,48.045,95.021,64.867,63.862,42.402,50.284,58.838,82.484,57.929,65.061,45.02,44.811,50.742,Icterohaemorrhagiae,1,interrogans,95.021
Fiocruz_LV2933,48.592,55.17,60.258,43.03,90.219,57.811,54.871,60.831,59.669,47.551,93.018,64.145,63.64,41.929,49.908,57.856,81.76,57.487,63.606,44.466,44.289,49.403,Icterohaemorrhagiae,1,interrogans,93.018
UT053,58.289,68.332,48.432,40.278,60.725,44.409,74.543,84.945,76.209,93.178,58.553,48.593,49.106,79.103,56.953,84.771,59.252,43.207,48.337,84.589,42.662,41.715,Sejroe,3,Leptospira interrogans serovar Medanensis str. UT053,93.178
202102991,65.25,80.189,48.247,40.122,53.228,42.289,93.589,81.037,89.748,36.728,52.775,48.868,44.725,32.701,62.624,80.395,52.457,42.536,44.741,35.179,39.915,41.527,Pomona,2,kirschneri,93.589
201800890,64.724,80.151,48.229,39.471,53.224,42.318,93.544,81.035,89.747,36.728,52.771,48.881,44.738,32.055,62.624,80.31,52.507,42.538,44.741,34.801,39.915,41.529,Pomona,2,kirschneri,93.544
NIID15,63.595,77.507,48.036,41.12,55.964,42.655,80.06,94.1,87.052,39.059,56.567,48.599,45.472,33.257,61.238,91.409,55.408,41.282,45.727,35.76,39.419,41.236,Autumnalis,2,interrogans,94.1
202102989,64.994,80.122,48.163,39.975,53.19,42.296,93.556,81.045,89.709,36.709,52.738,48.807,44.687,32.581,62.571,80.361,52.44,42.466,44.738,34.99,39.915,41.529,Pomona,2,kirschneri,93.556
Andaman,61.771,76.674,48.743,40.684,56.695,41.407,82.27,91.301,93.3,37.888,54.803,46.825,46.508,32.721,61.016,81.095,55.52,42.409,44.331,34.743,39.551,40.977,Grippotyphosa,2,interrogans,93.3
202103007,65.122,80.189,48.227,39.974,53.228,42.322,93.549,81.037,89.748,36.728,52.775,48.879,44.725,32.636,62.628,80.395,52.393,42.536,44.741,35.111,39.915,41.527,Pomona,2,kirschneri,93.549
Fiocruz_LV2908,48.25,54.838,60.073,43.463,89.949,57.944,55.28,61.175,59.543,47.633,93.17,63.969,63.521,41.758,49.642,57.618,81.319,57.394,63.872,44.139,44.459,49.315,Icterohaemorrhagiae,1,interrogans,93.17
S606,49.485,57.655,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.879,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
B42,49.485,57.655,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.981,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
L231,43.2,47.493,73.423,38.898,66.433,92.135,51.704,50.454,53.692,39.668,70.393,81.538,68.145,38.782,47.736,51.513,71.114,70.023,67.79,40.043,43.792,50.691,Manhao,1,Leptospira weilii serovar Heyan,92.135
158130,61.423,77.257,47.785,39.575,56.194,42.567,81.219,87.237,91.478,38.135,56.826,48.302,45.124,32.818,60.995,80.468,55.623,41.265,45.734,34.053,38.967,40.868,Autumnalis,2,interrogans,91.478
B167,49.485,57.652,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.879,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
Piyasena,45.992,51.278,86.392,39.328,67.178,77.916,52.201,52.381,56.001,39.724,69.966,96.613,65.183,39.931,48.982,53.319,71.623,70.752,67.234,44.254,45.681,58.643,Javanica,1,borgpetersenii,96.613
R287,49.485,57.628,61.086,44.035,91.182,58.432,56.479,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.893,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
S1006,49.485,57.652,61.086,44.035,91.182,58.432,56.479,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,83.004,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
S72,49.485,57.652,61.086,44.035,91.182,58.432,56.479,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.842,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
NIID12,63.595,77.507,48.157,41.12,55.964,42.655,80.06,94.1,87.052,39.059,56.567,48.599,45.472,33.335,61.238,91.409,55.408,41.282,45.707,35.76,39.419,41.236,Autumnalis,2,interrogans,94.1
X240,49.419,57.652,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.284,59.208,82.879,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
W26,49.485,57.652,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.93,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
Wijnberg,49.34,57.226,60.945,44.035,90.918,58.43,56.354,62.816,60.59,48.045,95.281,65.092,64.037,42.4,50.218,59.06,82.842,58.106,65.06,45.018,45.041,51.217,Icterohaemorrhagiae,1,interrogans,95.281
202102992,64.583,79.755,47.877,39.663,52.732,42.148,93.289,80.772,89.226,36.467,52.359,48.545,44.394,32.356,62.183,79.727,51.986,42.218,44.556,34.707,39.555,41.298,Pomona,2,kirschneri,93.289
Fiocruz_LV3737,48.965,55.589,60.225,43.685,90.069,57.786,55.347,61.177,60.2,47.858,93.289,64.268,63.751,42.065,50.262,58.128,81.743,57.446,63.616,44.581,44.712,49.659,Icterohaemorrhagiae,1,interrogans,93.289
B33,49.485,57.652,61.086,44.035,91.182,58.432,56.542,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.981,58.243,65.062,45.02,44.969,51.217,Icterohaemorrhagiae,1,interrogans,95.535
RGA,49.335,57.758,60.997,44.035,91.071,58.432,56.354,62.816,60.634,48.045,95.427,65.144,64.108,41.971,50.284,59.097,83.049,58.162,65.062,44.631,45.034,50.703,Icterohaemorrhagiae,1,interrogans,95.427
Nikolaevo,65.353,81.173,48.739,39.94,53.102,43.755,89.13,81.567,91.684,36.534,52.939,50.317,44.737,32.346,63.184,76.281,52.345,41.36,44.928,34.915,39.734,40.898,Autumnalis,2,kirschneri,91.684
Sh9,46.384,48.659,93.86,39.34,72.011,74.935,49.592,51.977,55.509,39.749,67.528,93.136,66.243,39.297,48.756,52.259,74.662,72.278,64.756,43.642,45.863,58.201,Ballum,1,borgpetersenii,93.86
202202782,37.839,40.584,34.3,93.475,38.418,34.824,38.981,40.365,40.446,35.869,38.973,33.896,31.992,32.12,39.35,42.154,38.24,32.335,36.575,34.856,55.896,52.798,Bataviae,4,noguchii,93.475
Fiocruz_LV204,48.823,55.44,60.217,43.922,90.16,57.612,55.182,60.959,60.012,47.35,93.36,64.111,63.608,42.155,50.133,57.975,81.502,57.472,63.664,44.669,45.065,49.582,Icterohaemorrhagiae,1,interrogans,93.36
201203348,42.764,50.83,61.974,35.821,92.708,50.842,47.52,54.287,54.982,41.002,82.793,58.963,59.156,36.635,43.225,51.329,81.472,53.867,59.442,37.574,37.298,47.235,Canicola,1,interrogans,92.708
202102995,49.478,57.505,61.082,44.027,91.174,58.426,56.392,62.807,60.749,48.035,95.527,65.224,64.18,42.392,50.354,59.2,83.119,58.239,65.059,45.016,44.948,51.212,Icterohaemorrhagiae,1,interrogans,95.527
Fiocruz_LV3738,49.234,55.876,60.407,43.918,90.194,57.914,55.659,61.546,60.543,47.917,93.401,64.29,63.667,42.226,50.552,58.454,81.538,57.734,63.544,44.736,44.859,49.719,Icterohaemorrhagiae,1,interrogans,93.401
200801774,64.467,78.217,49.571,39.838,54.133,41.76,87.038,82.344,94.009,36.425,51.518,48.843,46.271,32.525,62.202,74.062,52.035,42.519,42.8,34.981,39.714,41.58,Grippotyphosa,2,kirschneri,94.009
K56,50.539,54.153,68.796,43.221,88.523,62.769,51.765,58.005,57.358,47.432,85.418,66.823,64.848,41.581,50.74,55.778,93.931,61.486,67.27,43.397,45.657,51.777,Pyrogenes,1,interrogans,93.931
202102998,65.296,80.188,48.247,40.259,53.051,42.135,93.595,81.037,89.746,36.728,52.606,48.72,44.574,32.682,62.628,80.394,52.228,42.375,44.596,35.248,39.915,41.527,Pomona,2,kirschneri,93.595
2007005490,49.234,55.891,60.794,43.927,90.941,58.266,56.349,61.546,60.543,48.126,93.908,64.673,64.162,42.386,50.643,58.488,83.231,57.991,64.126,44.939,45.076,50.082,Icterohaemorrhagiae,1,Leptospira interrogans serovar Copenhageni str. 2007005490,93.908
202100001,49.118,56.757,60.634,44.032,90.431,58.303,56.426,62.772,60.239,47.987,94.813,64.693,63.696,42.352,50.356,58.75,82.207,57.728,64.938,44.955,44.966,50.636,Icterohaemorrhagiae,1,interrogans,94.813
202101402,49.485,57.487,61.086,44.035,91.182,58.432,56.479,62.816,60.758,48.045,95.535,65.227,64.186,42.402,50.362,59.208,82.881,58.243,65.062,45.02,44.811,51.217,Icterohaemorrhagiae,1,interrogans,95.535
Fiocruz_LV2953,48.687,55.288,60.219,43.257,90.287,57.654,55.024,60.805,59.854,47.393,93.497,64.117,63.618,41.77,49.949,57.834,82.02,57.474,63.624,44.284,44.092,49.405,Icterohaemorrhagiae,1,interrogans,93.497
SEMNICKI,65.091,80.103,48.184,39.869,53.186,42.299,93.539,81.041,89.66,36.709,52.733,48.842,44.69,32.66,62.584,80.04,52.436,42.497,44.739,34.963,39.915,41.473,Pomona,2,kirschneri,93.539
P2431,49.506,57.437,61.086,44.035,91.182,58.432,56.385,62.816,60.758,48.045,95.535,65.227,64.186,42.354,49.79,59.208,82.936,58.243,65.062,44.971,44.811,51.167,Icterohaemorrhagiae,1,interrogans,95.535
172_IZSLER,30.684,34.328,37.441,33.07,41.999,33.663,35.305,37.473,38.261,80.493,41.542,37.218,37.15,79.604,32.274,38.639,40.604,33.28,37.57,90.624,41.384,43.789,Pomona,2,kirschneri,90.624
